"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"1600000US1714000","Chicago city, Illinois","1035436","3495","48522","405","53.5","0.2","63258","667","30.7","0.2","29973","485","0.3","0.1","38293","8601","5.9","0.1","57222","2511","0.0","0.1","55179","34412","7.7","0.1","40598","925","1.8","0.1","49027","3650","20.8","0.2","41513","575","41.2","0.2","71927","610","4.4","0.1","25664","1017","43.0","0.2","57801","874","34.1","0.3","51808","604","18.5","0.2","30347","485","564763","3041","55654","577","45.1","0.4","46295","921","54.9","0.4","62904","819","59.5","0.4","79394","1077","30.7","0.4","29763","591","9.8","0.3","40950","1106","470673","3336","38786","731","52.1","0.4","34950","902","43.3","0.5","29811","949","8.8","0.2","70830","2182","47.9","0.4","42550","1009","36.8","0.5","35715","860","11.0","0.3","77287","3135","33.4","(X)","(X)","(X)","37.6","(X)","(X)","(X)","27.2","(X)","(X)","(X)",
"8600000US60007","ZCTA5 60007","13553","401","68775","3775","84.9","1.8","70976","3399","1.0","0.6","(X)","(X)","0.1","0.1","-","**","8.8","1.2","78580","21020","0.0","0.2","-","**","4.4","1.4","42039","3692","0.8","0.5","75435","50808","7.9","1.5","49390","8384","81.5","1.9","71172","3113","1.4","0.9","(X)","(X)","28.2","2.2","(X)","(X)","46.2","2.7","(X)","(X)","24.2","2.3","(X)","(X)","8840","292","87260","5745","42.7","2.9","89714","10591","57.3","2.9","86411","6365","80.0","3.2","96441","4445","15.3","2.9","57955","15249","4.6","1.8","67990","21400","4713","477","40772","4626","57.9","4.8","31839","4674","50.3","4.7","27149","4272","7.6","3.2","71705","15058","42.1","4.8","49896","8598","36.6","4.7","46528","9253","5.5","2.2","78504","14507","29.6","(X)","(X)","(X)","34.3","(X)","(X)","(X)","20.7","(X)","(X)","(X)",
"8600000US60018","ZCTA5 60018","9947","276","56648","2850","77.5","2.3","56896","3576","1.4","0.7","(X)","(X)","0.2","0.2","-","**","9.1","1.2","66750","4169","0.0","0.3","-","**","11.1","2.0","48015","6583","0.7","0.4","71563","47047","25.9","1.9","47351","4794","63.3","1.8","59792","4054","1.8","0.9","25833","14361","30.3","2.5","62005","5651","43.2","2.5","67150","9646","24.6","1.9","31784","2645","6938","266","63750","2861","43.0","3.2","59659","2778","57.0","3.2","71106","11191","79.9","3.3","69409","6064","15.7","3.1","41136","15802","4.4","1.4","60625","13962","3009","268","33785","6424","49.8","5.0","(X)","(X)","46.2","5.0","(X)","(X)","3.6","2.4","(X)","(X)","50.2","5.0","(X)","(X)","40.9","4.4","(X)","(X)","9.3","3.8","(X)","(X)","37.0","(X)","(X)","(X)","37.1","(X)","(X)","(X)","34.2","(X)","(X)","(X)",
"8600000US60068","ZCTA5 60068","14085","314","90484","4515","95.1","1.1","90607","4974","0.4","0.4","59009","54043","0.1","0.1","-","**","3.1","0.8","97188","31507","0.1","0.2","-","**","0.7","0.5","76375","31113","0.6","0.4","(X)","(X)","4.9","1.1","76063","22853","91.0","1.4","91655","4955","0.4","0.2","31250","29613","23.1","1.6","106223","5852","47.4","1.8","115687","7207","29.2","1.4","53697","4160","9988","264","114727","6243","45.0","2.1","130000","14567","55.0","2.1","107426","7007","83.1","2.4","(X)","(X)","12.1","2.2","(X)","(X)","4.9","1.3","(X)","(X)","4097","313","44007","5020","63.0","3.7","42988","4435","59.0","4.1","41477","4748","4.1","1.4","72813","18559","37.0","3.7","49028","10967","33.3","3.8","41652","8526","3.6","1.6","108125","30799","28.2","(X)","(X)","(X)","27.5","(X)","(X)","(X)","28.5","(X)","(X)","(X)",
"8600000US60106","ZCTA5 60106","6870","250","61414","2778","81.2","3.2","59727","5099","4.6","1.7","60313","24201","0.5","0.7","-","**","4.5","1.6","83438","33218","0.0","0.4","-","**","8.2","2.2","66250","12717","0.9","0.6","61477","24588","30.9","2.7","63073","9610","60.1","3.2","59293","5397","3.6","1.5","29333","12296","34.9","3.2","65582","6085","42.4","3.1","71299","8746","19.0","2.2","36525","5071","4871","216","66182","5612","45.5","3.6","53365","14844","54.5","3.6","75686","6029","73.6","3.1","76533","6380","17.4","2.9","33043","5871","9.0","2.1","57891","26942","1999","261","40054","5672","49.5","6.0","(X)","(X)","44.2","6.0","(X)","(X)","5.3","2.3","(X)","(X)","50.5","6.0","(X)","(X)","41.3","6.0","(X)","(X)","9.3","4.3","(X)","(X)","41.6","(X)","(X)","(X)","42.5","(X)","(X)","(X)","33.4","(X)","(X)","(X)",
"8600000US60131","ZCTA5 60131","6323","213","56196","4705","83.2","3.7","57262","5735","1.3","0.9","(X)","(X)","0.1","0.2","-","**","2.2","1.0","108571","44889","0.0","0.4","-","**","11.8","3.6","51981","6949","1.3","0.9","48542","48099","33.8","3.2","55729","11365","62.2","3.3","56733","4823","1.2","0.9","62978","15586","34.8","3.2","51236","5271","42.1","2.9","70133","5801","21.9","2.3","44853","11093","4386","178","67209","4416","43.8","3.4","55250","7070","56.2","3.4","72519","5309","72.0","3.8","76210","8354","19.9","3.7","42781","8082","8.1","2.8","61375","10580","1937","254","36997","5805","46.0","7.1","32305","5886","40.4","6.9","27731","6547","5.6","3.5","51976","1431","54.0","7.1","41596","3469","44.9","5.6","39893","6811","9.1","3.6","85852","26196","31.0","(X)","(X)","(X)","32.4","(X)","(X)","(X)","25.6","(X)","(X)","(X)",
"8600000US60176","ZCTA5 60176","4299","241","49111","7654","83.4","3.9","49187","7350","2.0","1.7","(X)","(X)","1.1","1.0","29018","26700","3.6","1.8","31492","899","0.0","0.6","-","**","7.0","3.0","66250","33524","2.8","2.1","67472","41222","22.4","3.5","46463","24550","70.4","4.4","51696","7273","1.7","1.4","(X)","(X)","42.6","4.3","(X)","(X)","36.2","4.6","(X)","(X)","19.5","3.2","(X)","(X)","2993","155","57074","6914","44.8","4.6","52131","12410","55.2","4.6","60714","11821","71.9","6.4","65406","10018","20.6","5.8","35552","16737","7.5","4.3","56959","32494","1306","214","39500","12678","52.1","10.0","(X)","(X)","45.0","10.0","(X)","(X)","7.1","4.7","(X)","(X)","47.9","10.0","(X)","(X)","38.7","10.3","(X)","(X)","9.2","6.3","(X)","(X)","32.0","(X)","(X)","(X)","37.4","(X)","(X)","(X)","19.6","(X)","(X)","(X)",
"8600000US60601","ZCTA5 60601","7662","569","102254","13133","75.6","4.9","111688","17104","5.7","2.7","104688","8578","0.7","1.1","-","**","17.0","4.7","56306","23699","0.0","0.4","-","**","0.0","0.4","-","**","1.0","1.2","2,500-","***","9.5","2.6","190301","83244","66.1","5.4","109441","23896","8.3","3.2","(X)","(X)","42.6","5.7","(X)","(X)","36.3","5.6","(X)","(X)","12.7","3.6","(X)","(X)","2247","549","155006","39440","25.3","8.8","113227","18404","74.7","8.8","156778","16332","93.3","7.0","(X)","(X)","1.9","3.1","(X)","(X)","4.8","5.2","(X)","(X)","5415","546","75190","12841","49.6","8.5","(X)","(X)","44.7","8.4","(X)","(X)","4.9","3.9","(X)","(X)","50.4","8.5","(X)","(X)","47.3","8.8","(X)","(X)","3.1","2.4","(X)","(X)","17.3","(X)","(X)","(X)","16.6","(X)","(X)","(X)","17.6","(X)","(X)","(X)",
"8600000US60602","ZCTA5 60602","706","260","57368","50366","81.2","15.8","54958","35311","0.7","1.1","-","**","0.0","3.8","-","**","17.1","15.2","89452","44350","0.0","3.8","-","**","0.0","3.8","-","**","1.0","1.6","-","**","7.4","11.8","-","**","73.8","19.9","56546","45119","12.2","11.2","(X)","(X)","66.4","17.7","(X)","(X)","15.2","14.9","(X)","(X)","6.2","9.8","(X)","(X)","298","248","(X)","(X)","0.0","8.8","(X)","(X)","100.0","8.8","(X)","(X)","100.0","8.8","(X)","(X)","0.0","8.8","(X)","(X)","0.0","8.8","(X)","(X)","408","183","76023","41725","50.2","30.5","42139","32632","50.2","30.5","42139","32632","0.0","6.5","-","**","49.8","30.5","80692","22856","39.0","26.9","81674","54997","10.8","17.7","-","**","27.8","(X)","(X)","(X)","63.1","(X)","(X)","(X)","2.0","(X)","(X)","(X)",
